observation_date,HCIYISUSA066NRUG
1991-01-01,3.4523024559020996
1992-01-01,3.4695949554443359
1993-01-01,3.4869735240936279
1994-01-01,3.5044395923614502
1995-01-01,3.5219931602478027
1996-01-01,3.5332388877868652
1997-01-01,3.5445206165313721
1998-01-01,3.5558385848999023
1999-01-01,3.5671925544738770
2000-01-01,3.5785825252532959
2001-01-01,3.5883371829986572
2002-01-01,3.5981185436248779
2003-01-01,3.6079261302947998
2004-01-01,3.6177608966827393
2005-01-01,3.6276223659515376
2006-01-01,3.6423289775848393
2007-01-01,3.6570947170257568
2008-01-01,3.6719207763671871
2009-01-01,3.6868066787719727
2010-01-01,3.7017533779144287
2011-01-01,3.7070109844207759
2012-01-01,3.7122759819030762
2013-01-01,3.7175486087799072
2014-01-01,3.7228286266326904
2015-01-01,3.7281162738800049
2016-01-01,3.7334113121032710
2017-01-01,3.7387139797210698
2018-01-01,3.7440237998962398
2019-01-01,3.7493414878845215
