,importance
CIVPART,0.3191721132897604
HCIYISUSA066NRUG,0.07712418300653592
SPDYNLE00INUSA,0.07342047930283221
USSLIND,0.049455337690631825
LES1252881600Q,0.04411764705882353
INDPRO,0.043028322440087176
PCEPI,0.036056644880174286
CPIAUCSL,0.029084967320261428
PCEC96,0.015577342047930258
PSAVERT,0.013398692810457535
BOPGSTB,0.01132897603485841
GDP,0.010021786492374726
TOTALSL,0.009912854030501102
UMCSENT,0.00860566448801745
UNRATE,0.00664488017429196
M2REAL,0.005882352941176479
CSUSHPINSA,0.0022875816993464084
MORTGAGE30US,0.0008714596949891037
T20YIEM,0.0005446623093681898
DSPIC96,0.00032679738562091387
DFF,0.00021786492374727592
FPI,0.00010893246187363796
TDSP,0.0
MPRIME,0.0
ICSA,0.0
RSAFS,0.0
